id,full_name,birthdate,gender,faction,faction_start,faction_end,profession,district_number,district_name,mandate,clean_handle
11004727,Albrecht Glaser,1942-01-08,männlich,AfD,2021-10-26,2025-03-25,"Stadtkämmerer a. D., Bürgermeister a. D.",170.0,Schwalm-Eder,Landesliste,
11004674,Andreas Bleck,1988-04-17,männlich,AfD,2021-10-26,2025-03-25,Büroleiter,197.0,Neuwied,Landesliste,
11005126,Barbara Lenk,1982-10-04,weiblich,AfD,2021-10-26,2025-03-25,Dipl.-Bibliothekarin (FH),155.0,Meißen,Direktwahl,
11004905,Beatrix Storch,1971-05-27,weiblich,AfD,2021-10-26,2025-03-25,Anwältin,75.0,Berlin-Mitte,Landesliste,
11005203,Bernd Schattner,1968-06-27,männlich,AfD,2021-10-26,2025-03-25,Geschäftsführer,211.0,Südpfalz,Landesliste,
11005014,Carolin Bachmann,1988-09-03,weiblich,AfD,2021-10-26,2025-03-25,,161.0,Mittelsachsen,Direktwahl,
11004719,Dietmar Friedhoff,1966-06-18,männlich,AfD,2021-10-26,2025-03-25,"Dipl.-Ingenieur, Vertriebstrainer, Gebäudesystemdesigner",43.0,Hannover-Land I,Landesliste,
11005031,Dirk Brandes,1974-05-25,männlich,AfD,2021-10-26,2025-03-25,Industriekaufmann,47.0,Hannover-Land II,Landesliste,
11004724,Dr. Alexander Gauland,1941-02-20,männlich,AfD,2021-10-26,2025-03-25,"Staatssekretär a. D., Publizist",,,Landesliste,
11004930,Dr. Alice Weidel,1979-02-06,weiblich,AfD,2021-10-26,2025-03-25,"Dipl.-Kauffrau, Dipl.-Volkswirtin",293.0,Bodensee,Landesliste,
11004662,Dr. Bernd Baumann,1958-01-31,männlich,AfD,2021-10-26,2025-03-25,Kaufmann,19.0,Hamburg-Altona,Landesliste,
11004936,Dr. Christian Wirth,1963-04-27,männlich,AfD,2021-10-26,2025-03-25,Rechtsanwalt,299.0,Homburg,Landesliste,
11005018,Dr. Christina Baum,1956-03-21,weiblich,AfD,2021-10-26,2025-03-25,Zahnärztin,276.0,Odenwald - Tauber,Landesliste,
11004899,Dr. Dirk Spaniel,1971-11-03,männlich,AfD,2021-10-26,2024-10-15,Ingenieur,258.0,Stuttgart I,Landesliste,
11004698,Dr. Gottfried Curio,1960-09-02,männlich,AfD,2021-10-26,2025-03-25,,,,Landesliste,
11004722,Dr. Götz Frömming,1968-08-30,männlich,AfD,2021-10-26,2025-03-25,Gymnasiallehrer,76.0,Berlin-Pankow,Landesliste,
11005099,Dr. Malte Kaufmann,1976-12-14,männlich,AfD,2021-10-26,2025-03-25,"Dipl.-Volkswirt, Unternehmer",274.0,Heidelberg,Landesliste,
11004768,Dr. Marc Jongen,1968-05-23,männlich,AfD,2021-10-26,2024-07-15,Dozent für Philosophie,266.0,Neckar-Zaber,Landesliste,
11004711,Dr. Michael Espendiller,1989-05-05,männlich,AfD,2021-10-26,2025-03-25,"Mathematiker, Volkswirt",126.0,Borken II,Landesliste,
11004792,Dr. Rainer Kraft,1974-01-08,männlich,AfD,2021-10-26,2025-03-25,Dipl.-Chemiker,253.0,Augsburg-Land,Landesliste,
11005305,Dr. Rainer Rothfuß,1971-04-19,männlich,AfD,2023-03-02,2025-03-25,Geopolitik-Analyst,256.0,Oberallgäu,Landesliste,
11005166,Edgar Naujok,1960-06-25,männlich,AfD,2021-10-26,2025-03-25,Unternehmer,154.0,Leipzig-Land,Direktwahl,
11004787,Enrico Komning,1968-08-06,männlich,AfD,2021-10-26,2025-03-25,Rechtsanwalt,16.0,Mecklenburgische Seenplatte I - Vorpommern-Greifswald II,Landesliste,
11005209,Eugen Schmidt,1975-10-23,männlich,AfD,2021-10-26,2025-03-25,Diplom Informatiker,91.0,Rhein-Erft-Kreis I,Landesliste,
11004767,Fabian Jacobi,1973-06-19,männlich,AfD,2021-10-26,2025-03-25,Rechtsanwalt,93.0,Köln I,Landesliste,
11005189,Frank Rinck,1986-11-04,männlich,AfD,2021-10-26,2025-03-25,Landwirt,48.0,Hildesheim,Landesliste,
11005029,Gereon Bollmann,1953-11-20,männlich,AfD,2021-10-26,2025-03-25,Richter am Oberlandesgericht a. D.,4.0,Rendsburg-Eckernförde,Landesliste,
11004846,Gerold Otten,1955-12-07,männlich,AfD,2021-10-26,2025-03-25,Berufssoldat a. D.,221.0,München-Land,Landesliste,
11005091,Gerrit Huy,1953-05-13,weiblich,AfD,2021-10-26,2025-03-25,Diplommathematikerin,226.0,Weilheim,Landesliste,
11005066,Hannes Gnauck,1991-08-08,männlich,AfD,2021-10-26,2025-03-25,Soldat auf Zeit,57.0,Uckermark - Barnim I,Landesliste,
11004842,Jan Ralf Nolte,1988-12-30,männlich,AfD,2021-10-26,2025-03-25,Soldat,167.0,Waldeck,Landesliste,
11005210,Jan Wenzel Schmidt,1991-10-08,männlich,AfD,2021-10-26,2025-03-25,Handelsfachwirt,67.0,Börde - Jerichower Land,Landesliste,
11005264,Joachim Wundrak,1955-05-28,männlich,AfD,2021-10-26,2025-03-25,Generalleutnant a. D.,26.0,Friesland - Wilhelmshaven - Wittmund,Landesliste,
11004739,Jochen Haug,1973-01-11,männlich,AfD,2021-10-26,2025-03-25,Rechtsanwalt,95.0,Köln III,Landesliste,
